id,Name in English,Countries,Country codes alpha 3,ISO639-3 codes,Degree of endangerment,Alternate names,Name in the language,Number of speakers,Latitude,Longitude,Subgroup,Family
1870,Barzani Jewish Neo-Aramaic (Israel),Israel,ISR,bjf,Critically endangered,"Lishan Didan, Lishan Dideni, Judeo-Aramaic, Jewish Northeastern Neo-Aramaic",,20.0,31.7888,35.1947,Northeastern Central Eastern Aramaic,Afroasiatic
1871,Bom,Sierra Leone,SLE,bmf,Severely endangered,,,20.0,7.3188,-11.9915,,
1872,Bundjalung,Australia,AUS,bdy,Severely endangered,,,20.0,-28.9998,152.9077,,
1873,Chung (Cambodia),Cambodia,KHM,scq,Critically endangered,Chu-ung,,20.0,10.6875,103.8084,,
1874,Dusner,Indonesia,IDN,dsn,Critically endangered,,,20.0,-2.7139,134.3888,,
1875,Forest Enets,Russian Federation,RUS,enf,Critically endangered,Bay; бай,,20.0,68.6836,86.2727,,
1876,Hermit,Papua New Guinea,PNG,llf,Critically endangered,,,20.0,-2.0869,146.9311,West Manus,Austronesian
1877,Jawoyn,Australia,AUS,djn,Severely endangered," Djauan, Jawan, Adowen, Kumertuo, Jawony.",,20.0,-14.2004,132.55,,
1878,Kamasa,Papua New Guinea,PNG,klp,Critically endangered,,,20.0,-6.95,146.2,,
1879,Kanakanabu,China,CHN,xnb,Critically endangered,Kanabu,,20.0,23.1463,120.6782,,
1880,Kembra,Indonesia,IDN,xkw,Critically endangered,,,20.0,-3.908,140.3942,,
1881,Kilen,"China, Russian Federation","CHN, RUS",gld,Critically endangered,"Sungari Nanay, Sungari Nanai; Akani",,20.0,47.4689,133.8574,,
1882,Kim,Sierra Leone,SLE,krm,Critically endangered,Krim,,20.0,7.2425,-11.9476,,
1883,Koko Bera,Australia,AUS,kkp,Severely endangered,"Gugubera, Kukubera, Koko Pera, Berang, Paperyn, Kok Kaber",,20.0,-15.6865,141.5917,,
1884,Kulina Páno,Brazil,BRA,xpk,Severely endangered,Culina,,20.0,-5.6597,-71.5429,,
1885,Leco,Bolivia (Plurinational State of),BOL,lec,Critically endangered,Leko. Burua.,,20.0,-15.585999999999999,-67.9064,,
1886,Loun,Indonesia,IDN,lox,Critically endangered,,,20.0,-2.8717,128.8366,,
1887,Mander,Indonesia,IDN,mqr,Critically endangered,,,20.0,-2.4341,138.7284,,
1888,Mangarla,Australia,AUS,mem,Critically endangered,"Mangalaa, Mangala, Manala, Minala, Djawali, Djuwali, Jiwali, Jiwarli, Koalgurdi, Yalmbau",,20.0,-20.159000000000002,122.6513,,
1889,Maringarr,Australia,AUS,zmt,Critically endangered,"Marenggar, Maringa.",,20.0,-14.1525,129.6166,,
1890,Nataoran,China,CHN,ais,Critically endangered,"Nataoran Amis, Sakizaya, Sakiray",,20.0,24.0088,121.5898,,
1891,Nez Perce,United States of America,USA,nez,Critically endangered,,,20.0,46.4347,-116.8268,,
1892,Nisvai,Vanuatu,VUT,psw,Critically endangered,Vetbon,,20.0,-16.4492,167.7117,,
1893,Nyamal,Australia,AUS,nly,Severely endangered,"Gnamo, Namel, Njamal, Njamarl, Nyamel.",,20.0,-21.4019,119.3225,,
1894,Nyikina,Australia,AUS,nyh,Severely endangered,"Nyigina, Nyikina, Njigina.",,20.0,-18.2613,124.6179,,
1895,Panamint,United States of America,USA,par,Critically endangered,"Tümpisa Shoshone,",,20.0,36.4555,-116.8666,,
1896,Pite Saami,"Norway, Sweden","NOR, SWE",sje,Critically endangered,Arjeplog Saami,,20.0,66.0447,17.8857,,
1897,Qawasqar,Chile,CHL,alc,Critically endangered,"Kawesqar, Alacaluf",,20.0,-49.6391,-74.3554,,
1898,Red Gelao (Viet Nam),Viet Nam,VNM,gir,Critically endangered,"A-ou, A-uo, Voa De, Van To",,20.0,23.1666,105.25,,
1899,Somyev,"Cameroon, Nigeria","CMR, NGA",kgt,Critically endangered,Somyewe,,20.0,6.9318,11.5136,,
1900,Ume Saami,Sweden,SWE,sju,Critically endangered,,,20.0,65.1091,18.2153,,
1901,Usku,Indonesia,IDN,ulf,Critically endangered,,,20.0,-3.5449,140.7499,,
1902,Vote,Russian Federation,RUS,vot,Critically endangered,"“Votian”, “Votic”; “Vod” (incorrect)",,20.0,59.5858,28.4518,,
1903,Wajarri,Australia,AUS,wbv,Severely endangered,"Watjari, Watjarri, Wadjari, Wadjeri.",,20.0,-26.8841,116.6748,,
1904,Wambaya,Australia,AUS,wmb,Critically endangered,"Wambaia, Wambaja, Wombya, Wom-By-A, Umbaia, Yumpia.",,20.0,-17.7696,134.923,,
1905,Warekena (Brazil),Brazil,BRA,gae,Critically endangered,"Uarequena, Werekena",,20.0,0.7909,-68.3789,,
1906,White Gelao (Viet Nam),Viet Nam,VNM,giw,Severely endangered,"Duoluo, Tu Du",,20.0,23.2,105.3333,,
1907,Uruak,Venezuela (Bolivarian Republic of),VEN,atx,Critically endangered,"Arutani, Awakê",,19.0,3.9957,-63.5888,,
1908,Pacahuara,Bolivia (Plurinational State of),BOL,pcp,Critically endangered,,,18.0,-11.4369,-65.6762,,
1909,Ririo,Solomon Islands,SLB,rri,Critically endangered,,,18.0,-6.91,156.9671,,
1910,Ava-Canoeiro,Brazil,BRA,avv,Critically endangered,"Canoeiro, Carijó, Índios Negros, Cara Preta",,16.0,-14.0847,-48.0418,,
1911,Ainu (Hokkaido),Japan,JPN,ain,Critically endangered,,,15.0,43.2612,142.8222,,
1912,Jaminjung,Australia,AUS,djd,Severely endangered,Djamindjung. Dialects: Ngaliwuru (Ngaliwerra); Murrinh-Yuwanh - the Murrinhpatha name for its southern neighbour,,15.0,-15.2417,130.5725,,
1913,Mwesen,Vanuatu,VUT,msn,Critically endangered,Mosina,,15.0,-13.874,167.5415,,
1914,Sechelt,Canada,CAN,sec,Critically endangered,,,15.0,50.0846,-123.7437,,
1915,Tanana,United States of America,USA,taa,Critically endangered,Lower Tanana,,15.0,64.605,-149.0625,,
1916,Ingalik,United States of America,USA,ing,Critically endangered,"Deg Xinag, Deg Hit'an",,14.0,62.1655,-156.3134,,
