id,Name in English,Countries,Country codes alpha 3,ISO639-3 codes,Degree of endangerment,Alternate names,Name in the language,Number of speakers,Latitude,Longitude,Subgroup,Family
507,Taba,Indonesia,IDN,mky,Vulnerable,"East Makian, Makian Dalam",,10000.0,0.0659,127.4084,,
508,Talu,China,CHN,yta,Vulnerable,Taliu,,10000.0,26.5623,102.8506,,
509,Tamazight (Tunisia),Tunisia,TUN,rif,Severely endangered,"Currently referred to with generic term Tamazight. Locally often called Chilha (Shilha) or Chaouia. 
Also called Tamezret or Djerbi or Ghadamsi Berber (Tamazight)
Referred to as Nafusi by Ethnologue owing to its geographic proximity and lignuistic",,10000.0,36.0313,9.8767,,
510,Tayal,China,CHN,tay,Vulnerable,Atayal,,10000.0,24.5458,121.3591,,
511,Temein,Sudan,SDN,teq,Severely endangered,"Ronge, Rone",,10000.0,11.8377,29.4625,,
512,Temiar,Malaysia,MYS,tea,Definitely endangered,,,10000.0,4.9493,101.4113,,
513,Vidunda,United Republic of Tanzania,TZA,vid,Vulnerable,,,10000.0,-6.8664,37.304,,
514,Kogui,Colombia,COL,kog,Vulnerable,"Cogui, Kogi, Kággaba. Language is called Kawgian.",,9911.0,10.8548,-74.0258,,
515,Paloor,Senegal,SEN,fap,Vulnerable,Sili,,9680.0,14.7801,-16.8035,,
516,Choctaw (Louisiana),United States of America,USA,cho,Vulnerable,,,9500.0,31.6822,-92.1252,,
517,Choctaw (Mississipi),United States of America,USA,cho,Vulnerable,,,9500.0,32.7713,-89.1163,,
518,Choctaw (Oklahoma),United States of America,USA,cho,Vulnerable,,,9500.0,34.1472,-94.81,,
519,Gawar-Bati,"Pakistan, Afghanistan","PAK, AFG",gwt,Definitely endangered,"Gowari, Narsati, Narisati, Arandui, Satre",,9500.0,35.158,71.4083,,
520,Taruang,"China, India, Myanmar","CHN, IND, MMR",mhu,Vulnerable,"Digaru Mishmi, Taraon, Darang Deng",,9332.0,28.12,95.88,,
521,Khaling,Nepal,NPL,klr,Definitely endangered,खालिङ; Khael; Khäl,,9288.0,27.5781,86.7163,,
522,Nunavimmiutitut,Canada,CAN,ike,Vulnerable,,,9105.0,58.1665,-68.3605,,
523,Woods Cree,Canada,CAN,cwd,Vulnerable,Rocky Cree,,9095.0,55.1711,-102.9061,,
524,Phula (Viet Nam),Viet Nam,VNM,"ypa, ypg, ypo, yip, ypn, yhl, ypb, phh, ypm, ypp, yph, ypz",Definitely endangered,,,9046.0,22.7833,105.4666,,
525,Dol-po,Nepal,NPL,dre,Definitely endangered,D'ölpo; Phoke Dolpa; Dolpa Tibetan; Dolpike,,9000.0,29.2193,83.0676,,
526,Helong,Indonesia,IDN,heg,Severely endangered,,,9000.0,-10.1905,123.5247,,
527,Lisela,Indonesia,IDN,lcl,Vulnerable,,,9000.0,-3.2392,127.0239,,
528,Motuo Menba,"China, India","CHN, IND",tsj,Definitely endangered,Eastern Monpa,,9000.0,28.664,94.0347,,
529,Panamahka,Nicaragua,NIC,sum,Vulnerable,Sumo,,9000.0,14.2856,-84.5947,,
530,Zuni,United States of America,USA,zun,Vulnerable,,,9000.0,35.082,-108.76,,
531,Mopán (Belize),Belize,BLZ,mop,Severely endangered,,,8980.0,16.2449,-88.8654,,
532,Tulishi,Sudan,SDN,tey,Severely endangered,"Thulesh, Thulishi, Kuntulishi",,8628.0,11.5984,29.0917,,
533,Central Cuicatec,Mexico,MEX,"cux, cut",Vulnerable,dbaku,,8621.0,17.8,-96.961,,
534,Ts'amay,Ethiopia,ETH,tsb,Definitely endangered,Tsamai,,8621.0,5.4382,37.2463,,
535,Phalura,Pakistan,PAK,phl,Definitely endangered,"Palula, Palola, Phalulo, Dangarik, Biyori",,8600.0,35.7264,71.7434,,
536,Ixcatlán Mazatec,Mexico,MEX,mzi,Vulnerable,"en ningotsie, Mazateco de la presa bajo",,8593.0,18.1447,-96.4855,,
537,Patla-Chicontla Totonac,Mexico,MEX,tku,Severely endangered,"Totonaco del rio Necaxa, Upper Necaxa Totonac",,8590.0,20.1644,-97.6927,,
538,Toram,Chad,TCD,trj,Severely endangered,,,8456.0,11.1581,19.6023,,
539,Dene,Canada,CAN,chp,Vulnerable,Chipewyan,,8195.0,56.4807,-109.4127,,
540,Micmac (Massachusetts),United States of America,USA,mic,Definitely endangered,"Mi´kmaq, Mi’gmaq, Miikmaq, Mi'gmaw",,8145.0,42.3589,-71.0578,,
541,Argobba,Ethiopia,ETH,agj,Critically endangered,,,8000.0,10.5958,39.9792,,
542,Austral dialects,French Polynesia (France),PYF,aut,Definitely endangered,"Rurutu, Tupuai, Rimatara, Raivavae",,8000.0,-23.3775,-149.4909,,
543,Belanda Bor,Sudan,SDN,bxb,Definitely endangered,De Bor,,8000.0,6.4954,27.7404,,
544,Feroge,Sudan,SDN,fer,Vulnerable,Kaligi (dialect? Indri),,8000.0,8.5049,25.7189,,
545,Inga,Colombia,COL,"inb, inj",Severely endangered,"Inga, Ingano",,8000.0,1.1658,-77.0011,,
546,Kanga,Sudan,SDN,kcp,Severely endangered,,,8000.0,10.844000000000001,29.4708,,
547,Lajia,China,CHN,lbc,Definitely endangered,"Lakkia, Chashan Yao",,8000.0,23.7439,110.0526,,
548,Lakha,Bhutan,BTN,lkh,Definitely endangered,Tsangkha,,8000.0,27.5898,90.3735,,
549,Mbya Guarani (Paraguay),Paraguay,PRY,gun,Definitely endangered,,,8000.0,-26.5099,-55.2832,,
550,Mundurukú,Brazil,BRA,myu,Vulnerable,Mundurucu,,8000.0,-8.1027,-57.3486,,
551,Ojibwe,United States of America,USA,ciw,Severely endangered,"Anishinaabemowin, Ojibwa, Chippewa",,8000.0,46.0706,-93.6677,,
552,Quichua (Salasaca),Ecuador,ECU,"qxr, qug, qvi, qvj, qvo, qvz, qxl",Definitely endangered,"Kichwa, Runashimi, Runa simi, Salasaca Quichua, Quichua Salasaca Highland (Ethnologue)",,8000.0,-1.3511,-78.6511,,
553,Rongpo,India,IND,rnp,Vulnerable,,,8000.0,30.7229,79.7387,,
554,Sanyi,China,CHN,ysy,Severely endangered,"Sa'nguie, Bai Yi",,8000.0,24.9262,102.5134,,
555,Temuan,Malaysia,MYS,tmw,Severely endangered,,,8000.0,3.3709,101.984,,
556,Tingal,Sudan,SDN,tie,Definitely endangered,Kajaja,,8000.0,12.238,31.1215,,
557,Wampis,Peru,PER,hub,Vulnerable,"Huambisa, Wambisa",,8000.0,-3.4476,-77.7941,,
558,Wunai Bunu,China,CHN,bwn,Definitely endangered,Ngnai Bunu,,8000.0,24.4146,107.8378,,
559,Yanesha,Peru,PER,ame,Severely endangered,Amuesha,,8000.0,-10.3743,-75.2343,,
560,Pana,Burkina Faso,BFA,png,Definitely endangered,,,7800.0,13.165,-3.4277,,
561,Macushi (Guyana),Guyana,GUY,mbc,Vulnerable,"Makuxí, Makushi",,7750.0,3.6888,-59.4799,,
562,Chukchi,Russian Federation,RUS,ckt,Severely endangered,Luoravetlan,,7742.0,67.6248,176.1767,,
563,Awa Cuaiquer,Colombia,COL,kwi,Critically endangered,"Kwaiker, Awa Pit (language), Awa (people)",,7500.0,1.4939,-78.5742,,
564,Lishana Deni (Israel),Israel,ISR,lsd,Severely endangered,"Lishan Hudaye, Lishan Hozaye, Judeo Aramaic, Jewish Northeastern Neo-Aramaic",,7500.0,31.7748,35.1013,,
565,Central Pame,Mexico,MEX,pbs,Vulnerable,xi'oi,,7399.0,21.9208,-99.3741,,
566,Puinave,"Colombia, Venezuela (Bolivarian Republic of)","COL, VEN",pui,Definitely endangered,Wansöjöt,,7377.0,4.434,-68.1591,,
567,Mebengokre,Brazil,BRA,txu,Vulnerable,"Kayapó, Xikrin, Put Karot, Mebengokre",,7266.0,-6.5569,-52.4707,,
568,Tunebo,"Colombia, Venezuela (Bolivarian Republic of)","COL, VEN","tnd, tbn, tuf, tnb",Definitely endangered,"U'wa (people), Uw Kuwa (language)",,7231.0,6.4463,-72.0483,,
569,Quechua of Peruvian Amazonia,Peru,PER,"qln, qlb",Vulnerable,"Quichua, Quichua amazónico",,7200.0,-2.3723,-74.1137,,
570,Asur,India,IND,asr,Definitely endangered,"Asuri, Assur",,7000.0,22.4719,84.9023,,
571,Bashkardi,Iran (Islamic Republic of),IRN,bsg,Definitely endangered,Bashaka,,7000.0,28.5169,57.7551,,
572,Burji,Kenya,KEN,bji,Vulnerable,,,7000.0,2.1857,37.9248,,
573,Choyi,China,CHN,qvy,Definitely endangered,Queyu,,7000.0,30.8519,99.6659,,
574,Gazi,Iran (Islamic Republic of),IRN,gzi,Definitely endangered,,,7000.0,32.8036,51.6211,,
575,Guichong,China,CHN,gqi,Vulnerable,,,7000.0,30.8148,101.7021,,
576,Natanzi,Iran (Islamic Republic of),IRN,ntz,Severely endangered,,,7000.0,33.452,51.3006,,
577,Nayini,Iran (Islamic Republic of),IRN,nyq,Severely endangered,Biyabanak,,7000.0,32.8519,53.1573,,
578,Parya,"Uzbekistan, Tajikistan, Afghanistan","UZB, TJK, AFG",paq,Severely endangered,"""Парйа"", ""Afghana-Yi Nasfurush"","" Afghana-Yi Siyarui"",""Laghmani""",,7000.0,38.5094,68.0932,,
579,Segeju,United Republic of Tanzania,TZA,seg,Severely endangered,,,7000.0,-4.8173,39.0783,,
580,Sivandi,Iran (Islamic Republic of),IRN,"siy, faz",Definitely endangered,,,7000.0,29.9168,51.5945,,
581,Soi,Iran (Islamic Republic of),IRN,soi,Definitely endangered,,,7000.0,31.6533,55.6787,,
582,Tucano (Brazil),Brazil,BRA,tuo,Vulnerable,"Tukáno, Tucano, Ye'pã-masa, Dasea",,7000.0,0.1757,-67.2363,,
583,Wapishana (Guyana),Guyana,GUY,wap,Vulnerable,Wapixána,,7000.0,2.3065,-59.6997,,
584,Yulu,"Central African Republic, Democratic Republic of the Congo, Sudan","CAF, ZAI, SDN",yul,Vulnerable,,,7000.0,8.3854,24.1754,,
585,Zhaba,China,CHN,zhb,Vulnerable,Zaba,,7000.0,31.4,100.4734,,
586,Sakapultek,Guatemala,GTM,quv,Definitely endangered,,,6973.0,14.9752,-91.0527,,
587,Chara,Ethiopia,ETH,cra,Vulnerable,,,6932.0,6.479,36.3647,,
588,Kosraean,"Micronesia (Federated States of), Nauru","FSM, NRU",kos,Severely endangered,Kusaie,,6900.0,5.322,162.9904,,
589,Waunana (Panama),Panama,PAN,noa,Severely endangered,"Waunmeo, Waunana, Waumeu, Nonama, Chocame, Chanco",,6882.0,8.2984,-78.1018,,
590,San Francisco del Mar Huave,Mexico,MEX,hue,Critically endangered,,,6874.0,16.3333,-94.5166,,
591,Northern East Cree,Canada,CAN,crl,Vulnerable,,,6870.0,53.6916,-78.8011,,
592,Micmac (Canada),Canada,CAN,mic,Vulnerable,,,6850.0,45.9646,-60.6172,,
593,Northern Tepehuán,Mexico,MEX,tnp,Definitely endangered,,,6802.0,26.4258,-107.2683,,
594,Miju,"China, India","CHN, IND",mxj,Vulnerable,"Keman, Miju Mishmi, Geman Deng",,6700.0,28.1155,96.2896,,
595,Bussa,Ethiopia,ETH,dox,Vulnerable,,,6624.0,5.7225,37.1406,,
596,Beli,Sudan,SDN,blm,Definitely endangered,,,6600.0,6.4736,29.2675,,
597,Chesu,China,CHN,ych,Definitely endangered,,,6600.0,24.4211,102.0459,,
598,Thuri,Sudan,SDN,thu,Vulnerable,,,6600.0,8.4397,25.4333,,
599,Karata,Russian Federation,RUS,kpt,Definitely endangered,Tokita (dialect),,6574.0,42.5874,46.3348,,
600,Saulteau,Canada,CAN,ojw,Vulnerable,Western Ojibway,,6558.0,50.5573,-98.6562,,
601,Kumāle,Nepal,NPL,kra,Severely endangered,कुमाले; Kumhali; Kumhale; Kumbale; Kumkale; Kumali,,6533.0,27.788,84.54799999999999,,
602,Dimme,Ethiopia,ETH,dim,Vulnerable,,,6501.0,5.9548,36.2988,,
603,Chiquitano (Bolivia),Bolivia (Plurinational State of),BOL,cax,Definitely endangered,"Besïro, Chiquito",,6500.0,-16.5835,-61.6113,,
604,Tumtum,Sudan,SDN,tbr,Severely endangered,,,6500.0,10.477,30.4321,,
605,Bezhta,Russian Federation,RUS,kap,Definitely endangered,Kapucha,,6461.0,42.1369,46.1508,,
606,Thakali,Nepal,NPL,ths,Vulnerable,थकाली; Tapang; Thaksya,,6441.0,28.7146,83.6478,,
607,Dongotono,Sudan,SDN,ddd,Vulnerable,,,6219.0,4.965,35.321,,
608,Mawé,Brazil,BRA,mav,Vulnerable,Sateré-Mawé,,6219.0,-3.8642,-56.7773,,
609,Shor,Russian Federation,RUS,cjs,Severely endangered,,,6210.0,53.0544,87.7478,,
610,Oji-Cree,Canada,CAN,ojs,Vulnerable,Severn Ojibway; Anishininiimowin,,6110.0,53.8141,-94.8977,,
611,Keiga,Sudan,SDN,kec,Severely endangered,,,6072.0,11.3184,29.695999999999998,,
612,Ampibabo Lauje,Indonesia,IDN,law,Vulnerable,Lauje,,6000.0,0.3295,120.1904,,
613,Cashinahua (Brazil),Brazil,BRA,cbs,Vulnerable,"Kaxinawá, Caxinauá, Cashinahuá, Huni-Kuin (auto-denominação)",,6000.0,-9.2603,-71.5304,,
614,Geji cluster,Nigeria,NGA,gji,Severely endangered,,,6000.0,10.196,9.5581,,
615,Mbya Guarani (Brazil),Brazil,BRA,gun,Vulnerable,Guarani M'byá,,6000.0,-30.1451,-50.625,,
616,Moklen,"Myanmar, Thailand","MMR, THA",mwt,Definitely endangered,"Moken, Saloun, Chao Thalee, Thai Mai",,6000.0,8.1953,98.3036,,
617,Nauruan,Nauru,NRU,nau,Severely endangered,,,6000.0,-0.53,166.9221,,
618,Nheengatu / Yeral (Brazil),Brazil,BRA,yrl,Severely endangered,Yeral in Venezuela.  Língua Geral Amazônica or Nheengatú in Brazil.,,6000.0,-0.4833,-67.0166,,
619,Parachi,Afghanistan,AFG,prc,Definitely endangered,,,6000.0,34.4658,68.637,,
620,Quechua of San Martín,Peru,PER,qsa,Severely endangered,Quechua Lamista. Lamas Quechua.,,6000.0,-6.5336,-76.4428,,
621,Sawkna,Libyan Arab Jamahiriya,LBY,swn,Critically endangered,"Sawknah,  Sokna",,6000.0,27.252,17.7539,,
622,Sulung,"China, India","CHN, IND",suv,Definitely endangered,Puroik,,6000.0,27.839000000000002,92.8784,,
623,Tindi,Russian Federation,RUS,tin,Definitely endangered,,,6000.0,42.466,46.1453,,
624,Western Apache,United States of America,USA,apw,Definitely endangered,Coyotero,,6000.0,33.2563,-110.4637,,
625,Yanomami (Brazil),Brazil,BRA,wck,Vulnerable,Yanomámi,,6000.0,3.0746,-63.457,,
626,Yazgulami,Tajikistan,TJK,yah,Severely endangered,"язгуломи, Yazgulyami",,6000.0,38.1982,71.4276,,
627,Chantyal,Nepal,NPL,chx,Definitely endangered,छन्त्याल; Chantel; Chhantyal; Chhantel,,5912.0,28.4493,83.4054,,
628,Mortlockese,Micronesia (Federated States of),FSM,mrl,Definitely endangered,,,5904.0,5.5811,153.5668,,
629,Baníwa do Içana,"Brazil, Colombia, Venezuela (Bolivarian Republic of)","BRA, COL, VEN",bwi,Vulnerable,"Baniua, Baniva, Walimanai, Wakuenai",,5811.0,1.2743,-68.291,,
630,"Akawaio (Guyana, Venezuela)","Guyana, Venezuela (Bolivarian Republic of)","GUY, VEN",ake,Definitely endangered,"Kapon (autodenomination shared with the Patamona), Ingarikó",,5800.0,5.3753,-60.5126,,
631,Akhvakh,Russian Federation,RUS,akv,Definitely endangered,,,5793.0,42.472,46.3238,,
632,Veps,Russian Federation,RUS,vep,Severely endangered,“Vepsian”,,5753.0,60.3269,34.8046,,
633,Qikiqtaaluk nigiani,Canada,CAN,ike,Vulnerable,"South Baffin, Eastern Canadian Inuktitut",,5740.0,63.7577,-68.5178,,
634,Sipakapense,Guatemala,GTM,qum,Definitely endangered,Sipacapeño,,5687.0,15.2121,-91.6335,,
635,Bribri (Costa Rica),Costa Rica,CRI,bzd,Vulnerable,,,5647.0,9.5596,-83.3073,,
636,Bainouk-Gunyaamolo,Senegal,SEN,bcz,Vulnerable,,,5635.0,12.7421,-16.1141,,
637,Kwatay,Senegal,SEN,cwt,Severely endangered,Kuwaataay,,5625.0,12.4204,-16.7596,,
638,Baheng (Viet Nam),Viet Nam,VNM,pha,Vulnerable,"Pa Hng, Pa Then",,5569.0,22.8166,106.35,,
639,Dameli,Pakistan,PAK,dml,Severely endangered,"Damel, Damedi, Damia, Gudoji",,5500.0,35.578,71.8684,,
640,Sak (Bangladesh),Bangladesh,BGD,ckh,Severely endangered,Chak,,5500.0,21.5041,92.2055,,
641,Yidgha,Pakistan,PAK,ydg,Definitely endangered,"Yudgha, Yudga, Yidga, Lutkuhwar",,5500.0,36.0024,71.6006,,
642,Southeastern Tarahumara,Mexico,MEX,tcu,Vulnerable,rarámari raicha,,5406.0,26.0891,-106.9645,,
643,Chimané,Bolivia (Plurinational State of),BOL,cas,Vulnerable,Tsimané,,5300.0,-15.2629,-66.8518,,
644,Dilling,Sudan,SDN,dil,Definitely endangered,"Delen, Warki, Warkimbe",,5295.0,12.0178,29.663,,
645,San Dionisio del Mar Huave,Mexico,MEX,hve,Definitely endangered,,,5165.0,16.3166,-94.75,,
646,Lafofa,Sudan,SDN,laf,Severely endangered,,,5140.0,10.3716,30.6243,,
647,Akeu,"Lao People's Democratic Republic, Myanmar, Thailand","LAO, MMR, THA",aeu,Definitely endangered,Akeu Akha,,5000.0,21.5833,101.0166,,
648,Anung (China),China,CHN,nun,Critically endangered,"Nung, Kwinpang Anong",,5000.0,26.7368,98.7766,,
649,Bagvalal,Russian Federation,RUS,kva,Definitely endangered,Bagulal; Kvanada; багулальский; кванадинский,,5000.0,42.5247,46.192,,
650,Bambassi,Ethiopia,ETH,myf,Definitely endangered,"Bambeshi, Mao",,5000.0,9.7469,34.7662,,
651,Barí,Colombia,COL,mot,Vulnerable,Dobocubi. Motilones (not to be confused with the Yukpa).,,5000.0,9.0261,-73.2678,,
652,Bartangi,Tajikistan,TJK,sgh,Severely endangered,бартанги,,5000.0,38.048,71.8286,,
653,Bokar,"China, India","CHN, IND",adi,Vulnerable,Adi,,5000.0,28.8735,94.3807,,
654,Brokpa,Bhutan,BTN,sgt,Definitely endangered,Brokpake; Sagtenpa,,5000.0,27.3766,91.9981,,
655,Creek,United States of America,USA,mus,Definitely endangered,Muskogee,,5000.0,35.6319,-95.9616,,
656,Cubeo (Colombia),Colombia,COL,cub,Vulnerable,"Kubéwa, Kubeo, Cuveo, Kobewa, Paniwa, Cobewa, Hipnwa, Kaniwa, Hehenawa, Kubewána",,5000.0,1.5,-70.5,,
657,Dagur (Hailar),China,CHN,dta,Definitely endangered,Daur; дагурский,,5000.0,48.6111,119.7949,,
658,Damal,Indonesia,IDN,uhn,Vulnerable,Uhunduni,,5000.0,-4.2806,137.0324,,
659,Dhaiso,United Republic of Tanzania,TZA,dhs,Definitely endangered,,,5000.0,-5.0745,38.4741,,
660,Gorum,India,IND,pcj,Definitely endangered,Pareng,,5000.0,18.667,83.0346,,
661,Guarayu,Bolivia (Plurinational State of),BOL,gyr,Definitely endangered,,,5000.0,-15.919,-62.8747,,
662,Gutnish,Sweden,SWE,swe,Definitely endangered,,,5000.0,57.3027,18.5284,,
663,Hopi,United States of America,USA,hop,Vulnerable,,,5000.0,35.8721,-110.6205,,
664,Ilue,Nigeria,NGA,ilv,Critically endangered,Idua,,5000.0,4.9185,8.2397,,
665,Jibbali,Oman,OMN,shv,Severely endangered,"Shehri, Shahri,  Shehret, Geblet, Shxawri, Ehkhili, Qarawi",,5000.0,18.0623,52.4267,,
666,Kalasha,Pakistan,PAK,kls,Severely endangered,"Kalashamon, Kalash, Kalasha-mun",,5000.0,35.6684,71.7201,,
667,Kami,United Republic of Tanzania,TZA,kcu,Severely endangered,,,5000.0,-6.8937,37.1337,,
668,Kathu,China,CHN,ykt,Definitely endangered,,,5000.0,24.136,105.249,,
669,Khojki,Oman,OMN,luv,Severely endangered,"خوجكي , Lawati (usually refers to the people rather than the language)",,5000.0,23.6193,58.5653,,
670,Khwe,Namibia,NAM,xuu,Definitely endangered,"Kxoe, Barakwena",,5000.0,-18.271,21.4892,,
671,Kom,India,IND,kmm,Definitely endangered,Kom Rem,,5000.0,24.0414,93.6639,,
672,Korandje,Algeria,DZA,kcy,Severely endangered,"Kwarandzie
",,5000.0,29.4049,-3.2605,,
673,Lachi,Viet Nam,VNM,lwh,Definitely endangered,,,5000.0,22.5,104.1333,,
674,Mak,China,CHN,mkg,Definitely endangered,Mo,,5000.0,25.5532,107.3809,,
675,Manihiki,Cook Islands,COK,rkh,Definitely endangered,Rakahanga,,5000.0,-10.4,-161.0,,
676,Megleno-Romanian,"Greece, The former Yugoslav Republic of Macedonia","GRC, MKD",ruq,Severely endangered,Meglenitic,,5000.0,41.1042,22.2025,,
677,Molise Croatian,Italy,ITA,"bos, hrv, srp",Severely endangered,,,5000.0,41.8787,14.7065,,
678,Moroccan Judeo-Arabic (Morocco),Morocco,MAR,aju,Severely endangered,"Judeo-Moroccan, Judeo-Arabic",,5000.0,34.0435,-5.0097,,
679,Namuyi,China,CHN,nmy,Vulnerable,,,5000.0,28.0727,101.9565,,
680,Padoe,Indonesia,IDN,pdo,Vulnerable,"Soroako, Tambe'e, Ajo, Alalao",,5000.0,-2.6467,121.2615,,
681,Patamona (Guyana),Guyana,GUY,pbc,Vulnerable,Autodenomination is Kapon (as for the Akawaio),,5000.0,4.5873,-59.8095,,
682,Pu,India,IND,caq,Critically endangered,"Nicobarese Car, Car",,5000.0,8.2549,93.1022,,
683,Pume,Venezuela (Bolivarian Republic of),VEN,yae,Definitely endangered,Yaruro,,5000.0,6.7518,-68.247,,
684,Singpho,India,IND,sgp,Definitely endangered,,,5000.0,27.5569,96.7456,,
685,Turi,India,IND,trd,Definitely endangered,,,5000.0,21.8411,87.2973,,
686,Udi (Azerbaijan),Azerbaijan,AZE,udi,Severely endangered,,,5000.0,41.0689,47.4609,,
687,Yecuana (Venezuela),Venezuela (Bolivarian Republic of),VEN,mch,Vulnerable,De'cuana. Maquiritare.,,5000.0,4.8501,-64.5117,,
688,Jirel,Nepal,NPL,jul,Definitely endangered,जिरेल; Ziral; Jiri; Jirial,,4919.0,27.6419,86.2123,,
689,Dolgan,Russian Federation,RUS,dlg,Definitely endangered,,,4865.0,71.3851,97.3388,,
690,Tsum,Nepal,NPL,ttz,Definitely endangered,Tsumge; Tsum Tibetan,,4786.0,28.4723,85.008,,
691,Taroko,China,CHN,trv,Vulnerable,Seediq,,4750.0,24.0916,121.5218,,
692,Kivallirmiutut,Canada,CAN,ike,Vulnerable,Eastern Canadian Inuktitut,,4675.0,61.0982,-94.1201,,
693,Zapotec of Petapa,Mexico,MEX,zpe,Definitely endangered,"didxazé, dizazí",,4613.0,16.8333,-95.1166,,
694,Dungmali,Nepal,NPL,raa,Definitely endangered,दुङमाली; Arthare; Arthare-Khesang,,4609.0,27.1874,87.1902,,
695,Saryg Yugur,China,CHN,ybe,Severely endangered,Sarygh Yughur; Western Yugur,,4600.0,39.2747,98.8439,,
696,Qikiqtaaluk uannangani,Canada,CAN,ike,Vulnerable,"North Baffin, Eastern Canadian Inuktitut",,4550.0,69.3878,-81.615,,
697,Afitti,Sudan,SDN,aft,Severely endangered,Ditti,,4512.0,12.4419,30.7534,,
698,Nomatsiguenga,Peru,PER,not,Severely endangered,Kanuja,,4500.0,-11.3292,-74.3664,,
699,Piapoko,"Colombia, Venezuela (Bolivarian Republic of)","COL, VEN",pio,Definitely endangered,,,4500.0,4.0396,-68.0712,,
700,Tokelauan,Tokelau,TKL,tkl,Severely endangered,,,4500.0,-9.1699,-171.8206,,
701,Wotu,Indonesia,IDN,wtw,Vulnerable,,,4500.0,-2.6303,120.88799999999999,,
702,Wambule,Nepal,NPL,wme,Vulnerable,वाम्बुले; Ombule; Umbule; Ambule; Chaurasia; Chaurasya,,4471.0,27.1746,86.4363,,
703,Southern East Cree,Canada,CAN,crj,Vulnerable,,,4455.0,50.586999999999996,-73.6365,,
704,Arbore,Ethiopia,ETH,arv,Definitely endangered,,,4441.0,5.069,36.891999999999996,,
705,Ebang,Sudan,SDN,hbn,Severely endangered,"Heiban, Abul",,4412.0,11.312999999999999,30.5886,,
706,Tafi,Ghana,GHA,tcd,Vulnerable,Tegbo,,4400.0,6.73,0.4421,,
707,Puma,Nepal,NPL,pum,Severely endangered,पुमा,,4310.0,26.9692,86.9004,,
708,Gyele,"Cameroon, Equatorial Guinea","CMR, GNQ",gyi,Definitely endangered,,,4280.0,2.2241,9.8986,,
709,Bwisi,"Congo, Gabon","COG, GAB",bwz,Definitely endangered,,,4248.0,-3.5572,11.4477,,
710,Eastern Montagnais,Canada,CAN,moe,Vulnerable,Innu-aimun,,4180.0,50.2136,-66.193,,
711,Atikamekw,Canada,CAN,atj,Vulnerable,,,4155.0,47.2104,-74.3827,,
712,Acoma-Laguna,United States of America,USA,kjq,Definitely endangered,"Acoma, Laguna, Acoma Keresan, Laguan Keresan",,4000.0,34.8964,-107.5816,,
713,Aka,"India, Sudan","IND, SDN",hru,Definitely endangered,"Hruso, Hrusso, Akha",,4000.0,27.1666,92.6312,,
714,Baga Manduri,Guinea,GIN,bmb,Definitely endangered,,,4000.0,10.0986,-14.0405,,
715,Baga Sitemu,Guinea,GIN,bsp,Severely endangered,,,4000.0,10.1094,-14.1586,,
716,Botlikh,Russian Federation,RUS,bph,Definitely endangered,,,4000.0,42.6602,46.2222,,
717,Bunan,India,IND,bfu,Definitely endangered,"Gahri, Punan, Boonan",,4000.0,32.7503,76.2451,,
718,Cashinahua (Peru),Peru,PER,cbs,Definitely endangered,"Kaxinawá, Kashinawa",,4000.0,-10.3581,-71.5869,,
719,Cha'palaa,Ecuador,ECU,cbi,Definitely endangered,"Cha'fiki 
Cayapa. Chachi.",,4000.0,0.9386,-79.0055,,
720,Evenki (Manchuria),China,CHN,"evn, orh",Severely endangered,"dialects: Orochen, Kumarchen (Manegir), Selpechen, Birarchen (Birar), Manchurian Reindeer Tungus, Khamnigan Evenki",,4000.0,50.34,123.43,,
721,Gazhuo,China,CHN,kaf,Definitely endangered,,,4000.0,24.0959,102.5463,,
722,Godoberi,Russian Federation,RUS,gdo,Definitely endangered,Ghodoberi,,4000.0,42.643,46.1027,,
723,"Kari'ña (Guyana, Suriname)","Guyana, Suriname","GUY, SUR","car, ciy",Severely endangered,"Galibi, Kari'ña, Carib, Galibi do Oiapoque in Brazil",,4000.0,6.8828,-60.2929,,
724,Lishan Didan (Israel),Israel,ISR,trg,Severely endangered,"Lishanan, Lishanid Nash Didan,  Lakhlokh, Galligallokh, Judeo-Aramaic, Jewish Northeastern Neo-Aramaic",,4000.0,32.0383,34.7827,,
725,Napu,Indonesia,IDN,npy,Vulnerable,Pekurehua,,4000.0,-1.2882,120.2536,,
726,Rahambuu,Indonesia,IDN,raz,Vulnerable,Wiau,,4000.0,-3.1898,121.0858,,
727,Shingsaba,"China, Nepal","CHN, NPL",lhm,Vulnerable,Lhomi; Lhoket; Shing Saapa; Kāṭh Bhoṭe,,4000.0,27.7163,87.4731,,
728,Sinkiang Dagur,China,CHN,dta,Definitely endangered,Turkestan Dagur; Xinjiang Daur,,4000.0,46.7737,83.0017,,
729,Taa,Botswana,BWA,nmn,Definitely endangered,"!Xoon, Xóõ, West-!Xóõ = Nambian Taa, East-!Xóõ = Botswanan Taa",,4000.0,-24.1367,20.1049,,
730,Tennet,Sudan,SDN,tex,Vulnerable,,,4000.0,4.8611,33.2226,,
731,Wapishana (Brazil),Brazil,BRA,wap,Definitely endangered,Wapixána,,4000.0,2.8113,-61.2377,,
732,Yagua,Peru,PER,yad,Definitely endangered,,,4000.0,-3.3598,-72.3779,,
