Language,Code,Subgroup,Family
Hurrian,xhu,Hurro-Urartean,Hurro-Urartean
Iberian,xib,Unclassified,Unclassified
Ifo,iff,Bieria-Maii,Austronesian
Illyrian,xil,Illyrian,Indo-European
Indus Valley Language,xiv,Unclassified,Unclassified
Ineseño,inz,Chumash,Chumash
Iowa-Oto,iow,Chiwere,Siouan
"Irish, Middle",mga,Goidelic,Indo-European
"Irish, Old",sga,Goidelic,Indo-European
Itene,ite,Guapore,Chapacura-Wanham
"Japanese, Old",ojp,Japanese,Japonic
Jorá,jor,Guarayu-Siriono-Jora (II),Tupi
Jurchen,juc,Southwest Tungus,Altaic
Kaimbé,xai,Unclassified,Unclassified
Kakauhua,kbf,Alacalufan,Alacalufan
"Kalapuya, Northern",nrt,Kalapuyan,Penutian
"Kalapuya, Southern",sxk,Kalapuyan,Penutian
Kalarko,kba,Mirning,Australian
Kalkutung,ktg,Galgadungic,Australian
Kamakan,vkm,Kamakan,Macro-Ge
Kamas,xas,Samoyed,Uralic
Kamba,xba,Unclassified,Unclassified
Kambiwá,xbw,Unclassified,Unclassified
Kaniet,ktk,Western Admiralty Islands,Austronesian
Kanoé,kxo,Tupari,Tupi
Kapinawá,xpn,Unclassified,Unclassified
Kara,,Unclassified,Unclassified
Kara,zra,Unclassified,Unclassified
Karakhanid,xqa,Aralo-Caspian,Altaic
Karami,xar,Minanibai,Trans-New Guinea
Karankawa,zkk,Hokan,Hokan
Karipúna,kgm,Kawahib (VI),Tupi
Karirí-Xocó,kzw,Unclassified,Unclassified
Kariyarra,vka,Coastal Ngayarda,Australian
Karkin,krb,Costanoan,Penutian
Kaskean,zsk,Unclassified,Unclassified
Katabaga,ktq,Unclassified Malayo-Polynesian,Austronesian
Kaurna,zku,Yura,Australian
Kawi,kaw,Javanese,Austronesian
Kazukuru,kzk,Kazukuru,East Papuan
Kepkiriwát,kpn,Tupari,Tupi
Ketangalan,kae,Unclassified Austronesian,Austronesian
Khazar,zkz,Bolgar,Altaic
Khorezmian,zkh,Turkic,Altaic
Kitan,zkt,Mongolian,Altaic
Kitsai,kii,Kitsai,Caddoan
Knaanic,czk,Czech-Slovak,Indo-European
Koguryo,zkg,Unclassified,Unclassified
Koibal,zkb,Samoyed,Uralic
"Korean, Middle",okm,Korean,Korean
"Korean, Old",oko,Korean,Korean
Kott,zko,Yenisei Ostyak,Yenisei Ostyak
Kpati,koc,Ngemba,Niger-Congo
Krevinian,zkv,Finnic,Uralic
Kubi,kof,Bole Proper,Afroasiatic
Kulon-Pazeh,uun,Paiwanic,Austronesian
Kuman,qwm,Ponto-Caspian,Altaic
Kungarakany,ggk,Gungaraganyan,Australian
Kunza,kuz,Unclassified,Unclassified
Kusunda,kgg,Chepang,Sino-Tibetan
Kwadi,kwz,Kwadi,Khoisan
Kw'adza,wka,South Cushitic,Afroasiatic
Kwalhioqua-Tlatskanai,qwt,Athapaskan,Na-Dene
Langobardic,lng,Upper German,Indo-European
Latin,lat,Latin Subgroup,Indo-European
Laurentian,lre,Northern Iroquoian,Iroquoian
Lemnian,xle,Tyrrhenian,Tyrrhenian
Leningitij,lnj,Northern Pama,Australian
Lepontic,xlp,Continental Celtic,Indo-European
Liburnian,xli,Unclassified Indo-European,Indo-European
Ligurian,xlg,Unclassified,Unclassified
Linear A,lab,Unclassified,Unclassified
Lingua Franca,pml,Romance-based,Pidgin
Loup A,xlo,Unclassified Algonquian,Algic
Loup B,xlb,Unclassified Algonquian,Algic
Lumbee,lmz,Unclassified Algonquian,Algic
Lusitanian,xls,Unclassified Indo-European,Indo-European
"Luwian, Cuneiform",xlu,Luwic,Indo-European
"Luwian, Hieroglyphic",hlu,Luwic,Indo-European
Lycian,xlc,Luwic,Indo-European
Lydian,xld,Anatolian,Indo-European
Macaguaje,mcl,Siona-Secoya,Tucanoan
"Macedonian, Ancient",xmk,Macedonian,Indo-European
Maek,hmk,Unclassified,Unclassified
Mahican,mjy,Algonquian,Algic
"Maidu, Valley",vmv,Maiduan,Penutian
Malgana,vml,Malgana,Australian
Mamulique,emm,Coahuiltecan,Coahuiltecan
Manangkari,znk,Yiwaidjic,Australian
"Mandaic, Classical",myz,Mandaic,Afroasiatic
Mangue,mom,Unclassified,Unclassified
"Manipuri, Old",omp,Meitei,Sino-Tibetan
Manx,glv,Goidelic,Indo-European
"Marathi, Old",omr,Indo-Aryan Southern Zone,Indo-European
Maritsauá,msp,Yuruna,Tupi
Marrucinian,umc,Oscan,Indo-European
Marsian,ims,Umbrian,Indo-European
Matagalpa,mtn,Misumalpan,Misumalpan
Mator,mtm,Samoyed,Uralic
Mator-Taygi-Karagas,ymt,Samoyed,Uralic
Mattole,mvb,Mattole-Wailaki,Na-Dene
Mawa,wma,Unclassified,Unclassified
"Mayan, Epigraphic",emy,Unclassified Mayan,Mayan
Maykulan,mnt,Mayabic,Australian
Mbara,mvl,Mbara,Australian
Median,xme,Western Iranian,Indo-European
Meroitic,xmr,Unclassified,Unclassified
Mesmes,mys,Outer South Ethiopian tt-Group,Afroasiatic
Messapic,cms,Unclassified Indo-European,Indo-European
Miami,mia,Central Algonquian,Algic
Michigamea,cmm,Unclassified Mississippi Valley,Siouan
Middle Greek,qgk,Attic,Indo-European
Miluk,iml,Coosan,Penutian
Milyan,imy,Luwic,Indo-European
Minaean,inm,South Arabian,Afroasiatic
Minoan,omn,Unclassified,Unclassified
Mittu,mwu,Morokodo-Beli,Nilo-Saharan
"Miwok, Bay",mkq,Eastern Miwokan,Penutian
"Miwok, Coast",csi,Western Miwokan,Penutian
Mlahsö,lhs,Northwestern Central Eastern Aramaic,Afroasiatic
Moabite,obm,Canaanite,Afroasiatic
Mobilian,mod,Amerindian Pidgin,Pidgin
Mochica,omc,Unclassified,Unclassified
Mohegan-Montauk-Narragansett,mof,Eastern Algonquian,Algic
Moksela,vms,Buru,Austronesian
Molale,mbe,Unclassified Penutian,Penutian
"Mongolian, Classical",cmg,Mongolian,Altaic
"Mongolian, Middle",xng,Mongolian,Altaic
"Mon, Old",omx,Monic,Austro-Asiatic
Mozarabic,mxi,Mozarabic,Indo-European
Mulaha,mfw,Kwalean,Trans-New Guinea
Muskum,mje,Biu-Mandara B.2,Afroasiatic
Mysian,yms,Unclassified,Unclassified
Nadruvian,ndf,Unclassified Baltic,Indo-European
Nagumi,ngv,Cameroon,Niger-Congo
"Nahuatl, Classical",nci,Aztec,Uto-Aztecan
"Nahuatl, Tabasco",nhc,Aztec,Uto-Aztecan
Nanticoke,nnt,Eastern Algonquian,Algic
Narrinyeri,nay,Ngarinyeric-Yithayithic,Australian
Natagaimas,nts,Unclassified,Unclassified
Natchez,ncz,Gulf,Gulf
Nawathinehena,nwa,Arapaho,Algic
Negerhollands,dcr,Dutch based,Creole
"Neo-Aramaic, Barzani Jewish",bjf,Northeastern Central Eastern Aramaic,Afroasiatic
"Newar, Middle",nwx,Newari,Sino-Tibetan
Ngandi,nid,Enindhilyagwa,Australian
Nganyaywana,nyx,Dyangadi,Australian
Ngbee,jgb,Unclassified Central Narrow Bantu,Niger-Congo
Niuatoputapu,nkp,Samoic-Outlier,Austronesian
Nocamán,nom,Western Panoan,Panoan
Nooksack,nok,Nooksack,Salishan
Noric,nrc,Continental Celtic,Indo-European
Norn,nrn,West Scandinavian,Indo-European
"Norse, Old",non,West Scandinavian,Indo-European
"North Arabian, Ancient",xna,Arabic,Afroasiatic
Nottoway,ntw,Tuscarora-Nottoway,Iroquoian
Nottoway-Meherrin,nwy,Tuscarora-Nottoway,Iroquoian
"Nubian, Old",onw,Nubian,Nilo-Saharan
Nukuini,nuc,Unclassified South-Central Panoan,Panoan
Numidian,nxm,Berber,Afroasiatic
Nyang'i,nyp,Ngangea-So,Nilo-Saharan
Obispeño,obi,Chumash,Chumash
Ofayé,opy,Opaye,Macro-Ge
Ofo,ofo,Biloxi-Ofo,Siouan
"Ohlone, Northern",cst,Costanoan,Penutian
"Ohlone, Southern",css,Costanoan,Penutian
"Oirat, Written",xwo,Oirat-Kalmyk-Darkhat,Altaic
Oko-Juwoi,okj,Central Great Andamanese,Andamanese
Old Kannada,qkn,Kannada,Dravidian
Old Khmer,qok,Khmer,Austro-Asiatic
Omejes,ome,Unclassified Arawakan,Arawakan
Omok,omk,Yukaghir,Yukaghir
Omurano,omu,Zaparoan,Zaparoan
Oscan,osc,Oscan,Indo-European
"Ossetic, Old",oos,Eastern Iranian,Indo-European
Oti,oti,Oti,Macro-Ge
Otuke,otu,Otuke,Macro-Ge
Ouma,oum,Oumic,Austronesian
Paekche,pkc,Unclassified,Unclassified
Paelignian,pgn,Oscan,Indo-European
Pahlavi,pal,Persian,Indo-European
Paisaci Prakrit,qpp,Indo-Aryan,Indo-European
Palaic,plq,Anatolian,Indo-European
Pali,pli,Unclassified Indo-Aryan,Indo-European
Palumata,pmc,Buru,Austronesian
"Pame, Southern",pmz,Pamean,Oto-Manguean
